"ID","IV"
383,5.43099651449834
255,6.21842685039152
133,4.40704945067399
349,NA
387,6.84936867051883
206,6.48180726133632
23,NA
452,3.54559357365463
140,3.16255313132236
223,6.86815691909307
46,4.75763724253691
162,6.66249988617772
22,5.92701255784595
282,6.41380394539047
404,1.85784662197365
468,6.21475733089826
334,5.69924849061357
419,0.849449431450458
108,NA
196,6.37533971158741
331,3.91575733891724
61,2.07504410527134
427,5.88667362035042
257,2.72429415257575
499,5.00196278424848
352,7.42516731279665
272,5.32650656342308
269,2.48205593905001
256,1.63252795420198
20,5.85776556532787
498,4.19122391280056
172,7.96722159393082
62,3.85458103339972
35,5.15084698054885
242,9.38423861708514
353,4.27002477731305
357,4.06635087521368
64,NA
15,4.69586598940753
110,4.53945581536451
310,5.32340406155246
96,NA
283,3.15647947241983
313,9.02099901996889
462,6.92217870353797
457,NA
16,3.45355647055815
418,4.60673563727379
328,NA
284,5.88428392214499
293,1.81859976440854
406,5.24553795594787
9,NA
471,NA
288,NA
203,NA
171,4.05857087166819
415,8.48473428578681
439,7.21998703950482
340,10.0180685503009
39,4.09280638652541
479,1.67013476221436
166,5.07514304275201
193,4.86941125875466
302,2.45865882706687
401,3.64341333961514
169,7.15868783408294
76,7.31311273959757
428,0.502312031085888
212,4.74869544666448
478,4.87227884917846
224,4.75187007554287
449,7.94026322806386
152,6.55326280135488
219,6.08660412938845
74,6.34185836180362
120,6.05876284420496
188,6.47481534968637
226,4.1201339207444
1,4.14364715994792
461,1.20656509142092
184,NA
241,6.40339236069564
298,7.26698356751065
234,10.0859734847441
400,4.84034974937747
229,5.16277601231014
251,8.07493901566044
375,5.084098657783
17,4.6157662188271
453,5.52482039532649
91,2.34907100229294
344,7.75530696569288
431,2.72664522561895
484,2.13462448136213
438,10.5890312566838
195,6.18801799189798
261,7.24782843730655
372,NA
25,0.243250276460811
421,4.83841355078409
341,4.74588657646547
266,1.28796983854681
119,8.48051674235632
424,7.88603420986728
101,5.55556065571035
247,8.19172341377121
82,7.3702509488405
239,4.52354434169979
40,5.76950482717445
336,2.73205636344316
138,5.4532738995945
68,5.82450968213057
432,6.27121506355988
305,9.28931987352513
154,2.61159327171154
237,7.7056468125525
364,4.20545482021415
24,0.0496440280624588
72,3.69335695097952
316,4.88469203650284
482,6.04787905597648
227,0.78173944870544
238,2.12697108522366
492,7.40765992037752
460,8.32556869175812
244,3.65564869058169
397,6.06500525103624
36,2.97610992986586
480,3.77008107827676
33,2.88021645280308
362,5.48625486779761
268,NA
210,4.83059944996257
367,3.91693713747487
348,9.41781921766891
160,4.91504046832971
448,6.69820956545665
399,4.83208119085361
495,2.50553633337675
141,6.81548598517841
358,2.58394554059867
246,5.60255823857454
489,7.26611465477652
422,2.52742740042158
440,2.19415988305802
300,3.396668380777
260,3.65540418181544
99,NA
111,7.81646841461486
472,4.22577262301368
235,6.62828429386457
465,NA
14,5.13522732304783
191,4.08233262084591
179,NA
232,6.24548183333136
69,2.11263087035517
170,3.972628315343
500,1.56462420814156
100,4.06976888168087
381,NA
112,4.98237624858735
63,4.97415747495556
197,6.41403677024044
382,NA
274,4.23362901626637
386,4.6542089001267
388,4.11360888564164
317,3.84068302377428
136,5.46787619565432
209,NA
297,4.97651390098847
178,3.40395380015913
151,3.89647658071955
493,NA
2,4.06074070721596
363,5.25822789330004
105,8.01169393965879
301,7.42245992928391
307,4.11669958982237
147,5.75401447515635
277,3.47424893865347
122,7.22882915321399
441,5.65732434862468
228,1.78626236721252
165,5.10166940705811
142,7.96625361096106
434,4.1380113608542
309,3.00583297865916
84,4.72092398091048
389,6.01686426053925
315,5.77222469015775
60,5.42846614110219
116,4.08308863595631
299,2.23827939521647
121,6.21679651258695
337,4.36524455361963
270,1.44700943786762
335,3.38546930391163
200,4.83251317349171
446,3.26846053377064
98,4.88132587782653
324,5.93952049851386
47,NA
278,3.24703369774464
311,7.40147746825131
486,3.19529449780468
377,5.7818871297061
466,5.39560909193154
28,7.3328303535374
322,NA
380,NA
455,4.15048898103383
49,5.10483191207412
407,9.20202725636913
259,6.80738294456435
103,4.13604275489119
390,6.37505208619097
254,4.04430846837821
467,8.24443816959671
143,3.07219959119668
370,2.2319204076618
376,3.88958911309817
93,4.1161040019423
89,5.09554501985653
187,6.06452424079628
233,3.73616596784148
379,4.60820071243784
92,2.27342842753026
85,5.05162682863475
134,NA
503,6.2906809449753
159,NA
218,NA
8,4.47209906368537
80,6.66960061270742
77,NA
508,NA
65,5.51536894009572
273,3.29173333244523
216,4.12391855390899
167,0.904869343559537
19,NA
267,5.39838951591982
236,2.96945434219063
199,6.30577151954303
215,2.81763788754462
409,6.52515553862431
250,NA
314,5.52903719665877
333,4.53124841586942
243,0.791609134930234
442,2.39394585887582
59,10.0711289148632
153,5.35297844497477
359,NA
106,3.95152493127512
87,5.75525391598689
414,6.25873150923295
271,4.2914031616384
90,NA
445,6.74084519759845
355,3.62869221565839
204,4.39507317343112
81,9.18360736884016
95,8.23726103864401
156,3.13066375933151
45,6.68741320885752
497,5.19944713439161
395,4.9638688987665
464,NA
285,NA
408,4.90597900456932
3,6.08668920416747
454,5.76002773388719
104,8.53190815141217
127,3.62460513486348
456,6.56622539698476
262,11.3170774767296
83,7.09396740149002
94,6.14953501709835
394,NA
67,NA
373,0.0959657209282332
319,6.58511770766973
374,2.79913346883601
56,5.63818194478225
207,4.9541458459273
175,4.34471878682178
126,4.06981892355903
230,7.21392550603888
5,4.77840758033483
350,3.6708188003018
325,4.4237510080995
221,1.64439739837448
263,1.12665400641864
458,5.01852716438254
391,8.34358037373199
473,3.63146785953039
286,5.0099630908623
54,7.07880882834224
30,6.10553137261486
144,4.53639999205414
139,NA
249,4.35111889447966
398,2.79118855240121
507,7.6948136299851
491,NA
115,4.11075980377932
351,5.94820615313327
107,6.3812059652059
86,5.16318084294737
189,2.45356876972886
79,2.6859866460783
194,7.86843072098412
368,4.51720591236354
330,8.5351238430827
361,6.95961898711268
132,6.5265872307994
102,5.59192788834629
73,6.55640898622436
303,6.52939871108975
6,8.02592787861157
117,6.59898135044245
287,4.53594155471685
474,2.08729774901329
31,4.74157499040062
459,3.78576214202913
490,NA
146,8.88483699491845
281,5.23534373938343
258,4.07979500150583
231,4.27989398312495
137,NA
44,4.86255936798029
327,1.54539076391401
402,3.86163975416534
113,7.27563693293366
318,4.50743059604525
494,9.91199942310588
413,8.99201315028681
296,NA
481,7.5428645038295
304,5.88370006758246
173,3.30764092714965
186,4.84196133316096
437,3.20938021830856
205,6.71305188800095
128,4.99993868015531
34,NA
198,4.41985704484373
161,5.0357848573363
190,NA
157,0.476025080795104
202,6.94949067551078
51,4.08143341038958
220,3.49767188535903
292,6.07945286881464
308,NA
312,7.28568188284531
32,3.04848477664097
411,4.1937082510765
163,5.39981541142858
469,6.09162985729532
306,NA
264,2.89397145112322
435,1.95490161001964
214,7.03023383006858
475,11.319593407674
21,3.56866235625437
429,NA
483,6.33048760613239
52,5.94714100037391
13,3.45414869550877
58,3.21001828895864
276,7.91938391602494
181,3.44713174694235
55,6.15442321831798
392,0.0298088107925452
225,4.96920347494685
343,6.91648727351887
451,3.71015249005423
412,1.23564154209534
346,5.1782929261567
347,2.6804235623261
295,2.33728739335483
37,5.55190615832141
476,NA
405,5.21360602000673
477,NA
12,9.82404075128561
10,3.73184231770822
7,5.22147799051542
164,2.49640549178146
506,3.95677054653904
371,4.45687436053715
124,4.98733399206985
436,5.53562933496363
185,NA
444,7.84553652179479
410,3.25894814046233
338,6.39144106916062
252,4.02895572687992
393,5.93867256170708
505,5.74096317524719
208,5.90146588460216
447,7.54037122841396
97,5.09890421772458
321,3.2946697045192
78,NA
485,2.3562420941887
332,8.09043556506635
360,1.01103538579437
4,8.50254328596743
502,0.648787188173269
75,3.37667771066502
11,5.02974866918582
470,5.15251475546689
53,3.81599839953819
326,3.51257777896023
291,6.4001517097403
488,2.74012198944079
279,2.93777939156899
42,NA
356,NA
450,4.27438360072253
149,4.96261365261789
384,NA
48,5.89538577113493
365,5.18919696310387
183,6.0636844344143
280,6.9411385044662
114,2.82118002334035
71,5.81996073518057
155,4.57772650400428
369,6.59598073316777
176,6.00543534112237
211,3.3008052680036
426,6.24649581409411
129,1.79047724608314
41,8.48033377435515
222,5.26734166197749
135,4.37982422433688
182,3.91983759549575
50,2.97868635447272
180,NA
57,4.37884404503212
148,1.18671224733958
118,8.65229967830065
487,4.20677273278493
145,5.32785066223058
26,3.60926115832275
150,3.15960008224218
29,6.90837862359135
27,7.6247866768526
342,4.78426889918304
320,2.43268677880688
430,4.93128522583774
289,4.72827344734597
70,4.93165230334583
323,4.22138727826032
130,6.30499010622683
177,5.72017953761533
109,7.44171185231364
38,3.03265337318422
425,8.68668327264599
245,2.99464452636261
253,NA
265,3.52921623553367
275,1.40120974267782
131,4.17671083104714
88,6.94479832878981
433,1.71888931007835
240,6.13805756605264
423,5.00549884017141
345,3.48874054840141
217,NA
43,5.69127449346846
504,4.44564242524341
396,7.04052067467902
201,4.7017465036787
168,7.45807822080324
366,7.81122753893639
66,NA
420,3.85291154529794
403,4.32384895162618
378,2.13053350545955
290,6.33040056335914
125,0.0799256080523856
501,2.76341558791623
339,4.6375945373456
123,7.04918635717497
496,5.16597400052597
417,NA
294,6.09002655989956
416,5.70736545867222
213,3.73670371350575
248,3.83382978092719
18,3.14322427776536
329,5.25358298362297
158,2.00090888842019
443,5.06066747780754
354,7.21726403041803
192,6.87563547440787
385,NA
174,NA
463,4.57955977398758
